Airport_Code,Airport Name,City,State_Code,Latitude,Longitude,Elevation_FT,Tower Freq
18GA,SLEEPY HOLLOW,SOCIAL CIRCLE,GA,33.693333,-83.658333,750,
18I,MC CREARY COUNTY,PINE KNOT,KY,36.696667,-84.391667,1370,122.9
18II,MC GILL,CICERO,IN,40.12,-86.068333,855,
18IL,LA GRANGE MEML HOSPITAL,LA GRANGE,IL,41.796667,-87.886667,675,
18IS,ALLSTATE COMMERCIAL PLAZA,SOUTH BARRINGTON,IL,42.07,-88.175,858,
18K,FOWLER,FOWLER,KS,37.385,-100.18667,2483,122.9
18KS,CHEROKEE STRIP,UDALL,KS,37.371667,-97.106667,1270,
18LA,CAMP BEAUREGARD ARMY NATIONAL GU,PINEVILLE,LA,31.383333,-92.4,125,
18M,LINWOOD,LINWOOD,MS,32.79,-90.138333,285,
18MI,VACOTTAGE,GLADWIN,MI,42.958333,-84.64,840,
18MN,HINES FARM,MOTLEY,MN,46.236667,-94.593333,1283,
18MO,GIMLIN,OZARK,MO,36.963333,-93.17,1380,
18ND,KRAFT AIRSTRIP,STEELE,ND,46.861667,-99.926667,1870,
18NE,DOC'S,GENEVA,NE,40.513333,-97.61,1640,
18NJ,MANALAPAN TOWNSHIP-VILLAGE GREEN,FREEHOLD,NJ,40.28,-74.33,100,
18NY,STRIP IN THE WOODS,WOODSTOCK,NY,42.016667,-74.048333,500,
18OH,JER-MAR AIRPARK,LAGRANGE,OH,41.256667,-82.143333,800,
18OI,BOGGY BOTTOMS,VICKERY,OH,41.423333,-82.983333,575,
18OK,COMANCHE COUNTY MEML HOSPITAL,LAWTON,OK,34.61,-98.433333,1142,
18PN,SPUD VIEW,UPPER STRASBURG,PA,40.065,-77.693333,733,
18R,CORPUS CHRISTI,CORPUS CHRISTI,TX,27.801667,-97.393333,6,122.9
18S,NORWAY,NORWAY,OR,43.103333,-124.16167,23,
18TA,WEST KERR RANCH,JUNCTION,TX,30.136667,-99.743333,2330,
18TS,BRACKENRIDGE HOSPITAL,AUSTIN,TX,30.273333,-97.735,519,
18TX,FLYING 'T' RANCH,CADDO MILLS,TX,32.95,-96.228333,545,
18U,GAJEWSKI FLD,ALEXANDER,ND,47.9,-103.65833,2100,
18V,PLATTE VALLEY AIRPARK,HUDSON,CO,40.1,-104.70167,4965,122.9
18VA,ENGLISH,HURT,VA,37.103333,-79.301667,550,
18W,BEARD,FAYETTEVILLE,NC,35.068333,-78.935,210,
18WI,LEACH FARMS,POY SIPPI,WI,44.088333,-88.925,750,
18XS,GARDNER FARM,MC ADOO,TX,33.8,-101.03333,3000,
18Y,MILACA MUNI,MILACA,MN,45.771667,-93.631667,1100,122.9
19A,JACKSON COUNTY,JEFFERSON,GA,34.173333,-83.56,951,122.8
19AK,ICY BAY,ICY BAY,AK,59.968333,-141.66167,50,122.5
19CA,HENRY MAYO NEWHALL MEMORIAL HOSP,VALENCIA,CA,34.398333,-118.55333,1200,
19CO,MEMORIAL HOSPITAL,COLORADO SPRINGS,CO,38.84,-104.79833,6095,
19D,MORA MUNI,MORA,MN,45.886667,-93.271667,1012,122.9
19FD,NICHOLAS ISLAND,JUPITER,FL,26.94,-80.086667,5,
19FL,WPTV,WEST PALM BEACH,FL,26.718333,-80.05,9,
19GA,WILLOW POND AVIATION INC,FAYETTEVILLE,GA,33.423333,-84.5,868,
19H,LAMBDINS FIELD,WOLF LAKE,IL,37.54,-89.486667,350,
19I,BROWNIES LEBANON,LEBANON,OH,39.398333,-84.205,879,122.8
19IL,KEUTZER,LA MOILLE,IL,41.513333,-89.23,798,
19IS,SKILLET FORK FARM,WAYNE CITY,IL,38.296667,-88.556667,430,
19K,VILLNAVE,BELTON,MO,38.766667,-94.588333,1125,
19KS,SCHULTZ FIELD,CHANUTE,KS,37.62,-95.458333,940,
19LA,REGION 1 HEADQUARTERS-STATE POLI,BATON ROUGE,LA,30.448333,-90.103333,70,
19LL,NEINER,MANTENO,IL,41.256667,-87.92,650,
19M,C. A. MOORE,LEXINGTON,MS,33.125,-90.025,340,122.9
19MI,MECOSTA COUNTY GENERAL HOSPITAL,BIG RAPIDS,MI,43.695,-85.473333,911,
19MN,LONG,MOUND,MN,44.921667,-93.685,930,
19MO,NORTH PATROL DIV STATION,KANSAS CITY,MO,39.245,-94.588333,955,
19N,CAMDEN COUNTY,BERLIN,NJ,39.778333,-74.948333,150,122.8
19ND,BRECKHEIMER,TOLNA,ND,47.733333,-98.488333,1458,
19NJ,AMERICAN CYANAMID HELISTOP,WEST WINDSOR,NJ,40.291667,-74.676667,101,
19OH,HARRIS CORN FIELD,LITCHFIELD,OH,41.173333,-82.06,915,
19OI,AIRC HELISTOP,WINTERSVILLE,OH,40.38,-80.705,1218,
19OK,GERHART,OKMULGEE,OK,35.728333,-95.976667,940,
19OR,GABEL,MAUPIN,OR,45.11,-121.22333,2000,
19S,AEROACRES,OREGON CITY,OR,45.316667,-122.605,420,
19TA,LAGRONE RANCH,MC CLENDON-CHISHOLM,TX,32.821667,-96.416667,567,
19TS,KVUE-TV,AUSTIN,TX,32.365,-97.736667,780,
19TX,WOODY MC CLELLAN RANCH,TEMPLE,TX,31.238333,-97.515,690,
19W,FAYETTEVILLE VAMC,FAYETTEVILLE,NC,35.09,-78.875,190,
19WA,KEY WAY,STEVENSON,WA,45.72,-121.88667,972,
19WI,ERICKSON FIELD,PRAIRIE FARM,WI,45.195,-92.056667,1180,
19X,GOLD COAST,NORTH MIAMI,FL,25.915,-80.156667,4,
19Y,PETERSON,MINNEAPOLIS,MN,45,-93.42,820,
1A0,DALLAS BAY SKY PARK,CHATTANOOGA,TN,35.188333,-85.178333,690,123
1A1,LAKE GUNTERSVILLE STATE LODGE,GUNTERSVILLE,AL,34.405,-86.213333,980,122.9
1A2,ARTHUR,ARTHUR,ND,47.111667,-97.206667,973,122.9
1A3,MARTIN CAMPBELL FIELD,COPPERHILL,TN,35.016667,-84.346667,1793,123
1A4,CAROLINA COW COUNTRY,CLINTON,SC,34.533333,-81.886667,625,
1A5,MACON COUNTY,FRANKLIN,NC,35.223333,-83.418333,2020,122.8
1A6,MIDDLESBORO-BELL COUNTY,MIDDLESBORO,KY,36.61,-83.736667,1154,122.8
1A7,JACKSON COUNTY,GAINESBORO,TN,36.396667,-85.641667,515,122.9
1A8,EMPIRE,EMPIRE,NV,40.578333,-119.35333,3990,122.9
1A9,AUTAUGA COUNTY,PRATTVILLE,AL,32.438333,-86.51,215,122.8
1AK0,CRAIG CG,CRAIG,AK,55.475,-133.14667,20,
1AK1,CREVICE CREEK,CREVICE CREEK,AK,67.373333,-152.01667,840,
1AK2,CROSSWIND LAKE,CROSSWIND LAKE,AK,62.401667,-146.01333,2125,
1AK4,ROTOR AIR,SOLDOTNA,AK,60.523333,-150.75167,200,
1AK7,HARDEE FIELD,EAGLE RIVER,AK,61.25,-149.31833,660,
1AK8,EMMA CREEK,EMMA CREEK,AK,67.316667,-150.18333,1110,122.9
1AK9,TUNDRA COPTER,FAIRBANKS,AK,64.815,-147.86167,434,
1AZ0,MOBILE,MOBILE,AZ,33.1,-112.26667,1261,
1AZ1,BOULAIS,TOLLESON,AZ,33.515,-112.25667,1060,
1AZ2,PARADISE AIR PARK,TOLLESON,AZ,33.411667,-112.18167,1015,
1AZ3,LA PALOMA,TUCSON,AZ,32.32,-110.91667,2720,
1AZ4,TANKERSLEY RESIDENCE,TUCSON,AZ,32.256667,-110.815,2150,
1AZ5,REDMAN RESIDENCE,TUCSON,AZ,32.268333,-110.70667,2860,
1AZ6,PULICE CONSTRUCTION,PHOENIX,AZ,33.573333,-112.10333,1235,
1AZ7,S R P TOLLESON CENTER,TOLLESON,AZ,33.45,-112.23,1140,
1AZ8,AIR RANCH,BULLHEAD CITY,AZ,35.295,-114.37333,3750,
1AZ9,BIOSPHERE 2 LANDING FIELD,ORACLE,AZ,32.585,-110.85167,3886,
1B0,DEXTER REGIONAL,DEXTER,ME,45.008333,-69.24,533,122.8
1B1,COLUMBIA COUNTY,HUDSON,NY,42.291667,-73.71,197,122.8
1B2,KATAMA AIRPARK,EDGARTOWN,MA,41.358333,-70.525,20,122.8
1B3,FAIR HAVEN MUNI,FAIR HAVEN,VT,43.615,-73.275,370,122.9
1B4,FORT FAIRFIELD MUNI,FORT FAIRFIELD,ME,46.763333,-67.85,471,122.9
1B5,FRANCONIA,FRANCONIA,NH,44.196667,-71.75,970,122.8
1B6,HOPEDALE INDUSTRIAL PARK,HOPEDALE,MA,42.106667,-71.51,269,122.8
1B9,MANSFIELD MUNI,MANSFIELD,MA,42,-71.196667,122,123
1C1,PAXTON,PAXTON,IL,40.448333,-88.128333,779,122.8
1C2,HOWELL-NEW LENOX,NEW LENOX,IL,41.48,-87.921667,753,123
1C5,CLOW INTL,PLAINFIELD,IL,41.696667,-88.13,670,122.9
1C6,RADIO RANCH,POLO,IL,41.978333,-89.56,840,122.8
1C7,PRAIRIE CITY,PRAIRIE CITY,IL,40.618333,-90.46,667,
1C8,COTTONWOOD,ROCKFORD,IL,42.291667,-89.136667,741,122.8
1C9,FRAZIER LAKE AIRPARK,HOLLISTER,CA,36.953333,-121.465,151,122.8
1CA0,R I SANTA SUSANA HELISTOP,SIMI VALLEY,CA,34.238333,-118.69667,1800,
1CA1,BELRIDGE STRIP,SOUTH BELRIDGE,CA,35.468333,-119.72167,575,
1CA2,SUNRISE ONE,RANCHO CORDOVA,CA,36.598333,-121.26,100,
1CA3,G S A LAGUNA NIGUEL G/L HELISTOP,SOUTH LAGUNA BEACH,CA,33.561667,-117.715,188,
1CA4,AHA-QUIN,BLYTHE,CA,33.87,-114.52667,300,
1CA5,CALIFORNIA TITLE BUILDING,SOUTH PASADENA,CA,34.123333,-118.15,808,
1CA6,ON THE ROCKS,ALPINE,CA,32.765,-116.72333,2650,
1CA7,L. A. TIMES COSTA MESA,COSTA MESA,CA,33.693333,-117.91667,35,
1CA8,R I SCIENCE CENTER HELISTOP,THOUSAND OAKS,CA,34.196667,-118.90833,775,
1CA9,LOS ANGELES COUNTY FIRE DEPARTME,THOUSAND OAKS,CA,34.083333,-118.86833,1360,
1CL0,WILLIAM ARCHIBALD,SAN DIMAS,CA,34.105,-117.8,984,
1CL1,LITTLE BUTTES ANTIQUE AIRFIELD,LANCASTER,CA,34.793333,-118.27833,2433,
1CL2,PONTIOUS,MOJAVE,CA,34.941667,-118.17,2610,
1CL3,ALAMEDA COUNTY PARKING GARAGE,OAKLAND,CA,37.8,-122.265,119,
1CL4,UCI MEDICAL CENTER,ORANGE,CA,33.788333,-117.89,140,
1CL5,POMERADO HOSPITAL,POWAY,CA,32.998333,-117.05667,650,
1CL6,LAKE PARK HELISTOP,SACRAMENTO,CA,38.548333,-121.38,45,
1CL7,SAN BERNARDINO COMMUNITY HOSPITA,SAN BERNARDINO,CA,34.13,-117.32167,1209,
1CL8,MARIAN MEDICAL CENTER,SANTA MARIA,CA,34.95,-120.41333,240,
1CL9,SFI-VERNON,VERNON,CA,34.001667,-118.21333,231,
1CO0,THUNDERBIRD HELICOPTERS,MONTROSE,CO,38.498333,-107.93,5800,
1CO1,MOUNT MORRISON,MORRISON,CO,39.668333,-105.22,7881,
1CO2,WILLIAMS RANCH,NORWOOD,CO,38.161667,-108.34,6842,
1CO3,BELLMORE FARMS,NUNN,CO,40.703333,-104.79833,5225,
1CO4,CLIFFORD FIELD,OLATHE,CO,38.575,-107.95833,5560,
1CO5,OTIS,OTIS,CO,40.155,-102.96667,4343,
1CO6,LANDS END MICROWAVE,PALISADE,CO,39.09,-108.22167,9940,
1CO8,EVERITT,PARKER,CO,39.528333,-104.65833,6295,
1CO9,ST ANTHONY HOSPITAL-PARKER,PARKER,CO,39.521667,-104.76,5870,
1CT0,NORDEN SYSTEMS,NORWALK,CT,41.113333,-73.388333,60,
1CT1,TIE COMMUNICATIONS,SEYMOUR,CT,41.39,-73.051667,470,
1D1,MILBANK MUNI,MILBANK,SD,45.233333,-96.563333,1117,122.8
1D2,METTETAL-CANTON,PLYMOUTH,MI,42.35,-83.458333,696,122.7
1D3,PLATTE MUNI,PLATTE,SD,43.403333,-98.83,1618,122.9
1D4,MAYFIELD,AKRON,OH,40.993333,-81.431667,1100,122.9
1D6,HECTOR MUNI,HECTOR,MN,44.731667,-94.715,1077,122.8
1D7,THE SIGURD ANDERSON,WEBSTER,SD,45.293333,-97.513333,1854,122.9
1D8,REDFIELD MUNI,REDFIELD,SD,44.861667,-98.53,1307,122.8
1D9,SKIE AIR SERVICE,LENNOX,SD,43.3,-96.833333,1312,
1E0,ME-OWN,SILVER CITY,NM,33.211667,-108.025,7554,
1E1,DOOLITTLE RANCH,WATROUS,NM,35.816667,-104.95,6570,
1E2,TERLINGUA RANCH,ALPINE,TX,29.45,-103.39833,3769,122.8
1E3,BEAVERHEAD AIRSTRIP,SILVER CITY,NM,33.42,-108.14,7378,
1E4,PALO DURO,AMARILLO,TX,35.141667,-101.83833,3639,122.9
1E6,TURNER RIDGEPORT,SILVER CITY,NM,32.741667,-108.28667,6040,
1E7,BUFFALO,AMARILLO,TX,35.063333,-101.87833,3640,122.9
1E9,GARTRELL FIELD,CANYON,TX,35.065,-101.96167,3677,122.8
1F0,ARDMORE DOWNTOWN EXECUTIVE,ARDMORE,OK,34.146667,-97.123333,842,122.7
1F1,LAKE MURRAY STATE PARK,OVERBROOK,OK,34.075,-97.106667,817,122.8
1F3,HARTLEE FIELD,DENTON,TX,33.268333,-97.071667,588,
1F4,MADILL MUNI,MADILL,OK,34.14,-96.811667,890,122.9
1F7,AIRPARK EAST,DALLAS,TX,32.813333,-96.351667,510,122.7
1F8,AMBASSADOR FIELD,BIG SANDY,TX,32.585,-95.063333,390,
1FD0,LAWRENCE,GRAND RIDGE,FL,30.715,-85.025,130,
1FD1,HALIFAX RIVER,HOLLY HILL,FL,29.241667,-81.033333,0,
1FD2,BASS LIMITED,MADISON,FL,30.62,-83.303333,190,
1FD3,SET HELISTOP,DEERFIELD BEACH,FL,26.318333,-80.125,25,
1FD4,CORKSCREW TRACE,ESTERO,FL,26.445,-81.606667,29,
1FD5,MIAMI HERALD,MIAMI,FL,25.788333,-80.185,102,
1FD6,PAINES PRAIRIE,MICANOPY,FL,29.546667,-82.286667,75,
1FD7,PGA NATIONAL,PALM BEACH GARDENS,FL,26.833333,-80.143333,19,
1FD8,MEMORIAL HOSPITAL-FLAGLER HELIST,BUNNELL,FL,29.468333,-81.253333,23,
1FD9,OCALA BUSINESS CENTER,BELLEVIEW,FL,29.11,-82.05,75,
1G0,WOOD COUNTY,BOWLING GREEN,OH,41.391667,-83.63,673,122.8
1G1,ELYRIA,ELYRIA,OH,41.331667,-82.1,760,122.8
1G3,KENT STATE UNIV,KENT,OH,41.151667,-81.416667,1150,122.7
1G4,SPENCER FIELD,WIXOM,MI,42.521667,-83.55,936,122.9
1G5,MEDINA MUNICIPAL,MEDINA,OH,41.131667,-81.765,1192,123
1G8,EDDIE DEW MEMORIAL AIRPARK,TORONTO,OH,40.476667,-80.628333,1084,122.9
1G9,OAK RIDGE,EAST PALMYRA,NY,43.098333,-77.181667,540,
1GA0,EAGLE NECK,SHELLMAN BLUFF,GA,31.64,-81.328333,10,
1GA1,PRATT AND WHITNEY AIRCRAFT,COLUMBUS,GA,32.543333,-84.831667,430,
1GA2,FLYING N ESTATES,LUTHERSVILLE,GA,33.176667,-84.748333,870,
1GA4,SOUTHERN AG AVIATION,STATESBORO,GA,32.328333,-81.755,180,
1GA5,SHILO FARMS,HAHIRA,GA,30.931667,-83.383333,211,
1GA6,DE DE,BARNESVILLE,GA,33.008333,-84.11,800,
1GA7,ADAMS,CUMMING,GA,34.293333,-84.11,1200,
1GA8,SOUTH ONE TEN,NASHVILLE,GA,31.178333,-83.226667,225,
1GA9,AERIE,MONROE,GA,33.761667,-83.653333,830,
1H0,CREVE COEUR,ST LOUIS,MO,38.726667,-90.506667,447,122.8
1H2,EFFINGHAM COUNTY MEMORIAL,EFFINGHAM,IL,39.07,-88.533333,585,122.8
1H5,WILLOW SPRINGS MEMORIAL,WILLOW SPRINGS,MO,36.996667,-91.963333,1252,122.9
1H6,HARVEY YOUNG,TULSA,OK,36.136667,-95.818333,750,122.8
1H7,GROVE MUNI,GROVE,OK,36.603333,-94.738333,833,122.8
1H8,CASEY MUNI,CASEY,IL,39.303333,-88.003333,654,122.8
1H9,RIBBLE,HETTICK,IL,39.371667,-90.06,608,
1I2,RILEY FLD,ATTICA,IN,40.301667,-87.23,608,122.8
1I3,SHAWNEE FIELD,BLOOMFIELD,IN,39.045,-87.005,501,122.9
1I6,SHERATON LAKEVIEW,CLARKSVILLE,IN,38.283333,-85.755,445,122.9
1I7,CLINTON,CLINTON,IN,39.713333,-87.401667,526,122.8
1I8,CONVERSE,CONVERSE,IN,40.571667,-85.891667,840,122.9
1I9,DELPHI MUNI,DELPHI,IN,40.543333,-86.681667,675,122.9
1IA0,BROWN TRUCK SALES,CORNING,IA,40.896667,-94.791667,1300,
1IA1,ARMY RESERVE PARKING LOT,DECORAH,IA,43.305,-91.791667,845,
1IA2,CAMP TAHIGWA LANDING SITE,DORCHESTER,IA,43.438333,-91.566667,760,
1IA3,SPENCER MUNI HOSPITAL,SPENCER,IA,43.15,-95.141667,1318,
1IA4,WALLACE FIELD,CRESTON,IA,41.055,-94.395,1290,
1IA5,SCH,NEVADA,IA,42.016667,-93.453333,995,
1IA6,AERO-LANE,RANDOLPH,IA,40.885,-95.485,1134,
1IA7,UNIVERSITY OF IOWA HOSPITALS & C,IOWA CITY,IA,41.66,-91.548333,840,
1IA8,SAMARITAN HOSPITAL SOUTH,CLINTON,IA,41.84,-90.313333,700,
1IA9,NEWBROUGH,BRITT,IA,43.068333,-93.901667,1192,
1II0,WEBSTER,HOMER,IN,39.576667,-85.588333,910,
1II1,ST VINCENT HOSPITAL/HEALTH CARE,INDIANAPOLIS,IN,39.91,-86.198333,835,
1II2,ADAMS,GENEVA,IN,40.615,-84.835,850,
1II3,DAVIS,CARLISLE,IN,38.956667,-87.395,500,
1II5,VAN DE MARK,CULVER,IN,41.246667,-86.503333,730,
1II6,ST MARY'S MEDICAL CENTER,EVANSVILLE,IN,37.965,-87.505,386,
1II7,PARKVIEW MEMORIAL HOSPITAL,FORT WAYNE,IN,41.096667,-85.11,817,
1II8,MORRIS,GREENFIELD,IN,39.815,-85.818333,870,
1II9,CATES FIELD,KINGMAN,IN,39.986667,-87.34,655,
1IL0,ORWIG RLA,DELAVAN,IL,40.411667,-89.581667,558,
1IL1,HACKER RLA,IRVING,IL,39.245,-89.426667,653,
1IL2,HOBBY HIDEAWAY RLA,DELAVAN,IL,40.346667,-89.47,660,
1IL3,ALTON MEMORIAL HOSPITAL,ALTON,IL,38.9,-90.16,525,
1IL4,HEITMAN AERDROME,MILLSTADT,IL,38.418333,-90.131667,631,
1IL5,GOODE,BUFFALO PRAIRIE,IL,41.336667,-90.788333,770,
1IL6,BALLY'S STRIP,DIXON,IL,41.866667,-89.441667,786,
1IL7,GEARHART-HOLLOW,DIXON,IL,41.865,-89.503333,800,
1IL8,LOY,DONOVAN,IL,40.931667,-87.596667,665,
1IN0,BELKNAP-ICARUS ACRES,PARKER CITY,IN,40.133333,-85.23,1040,
1IN2,MEHARRY AG SERVICE,WINGATE,IN,40.203333,-87.056667,760,
1IN3,KELLY'S PATCH,ARCOLA,IN,41.098333,-85.241667,865,
1IN4,NORTH WESTWAY PARK,NEW AUGUSTA,IN,39.863333,-86.248333,820,
1IN5,BOTTOMS BROTHERS,SOMERVILLE,IN,38.285,-87.381667,545,
1IS1,COLLISON,COLLISON,IL,40.235,-87.81,710,
1IS3,CRIBBET,BLUE MOUND,IL,39.728333,-89.06,620,
1IS4,SWAN VALLEY FARM,LANARK,IL,42.135,-89.825,916,
1IS5,WALDER'S FARM,PAW PAW,IL,41.651667,-89.005,900,
1IS6,PERCIVAL,WATSON,IL,39.013333,-88.538333,550,
1IS7,INGERSOLL,ROCKFORD,IL,42.3,-89.07,745,
1IS8,SWORD'S,ASHTON,IL,41.863333,-89.221667,799,
1IS9,ROD'S FOX VALLEY,ELGIN,IL,42.066667,-88.283333,750,
1J0,TRI-COUNTY,BONIFAY,FL,30.845,-85.601667,84,122.8
1J6,BOB LEE FLIGHT STRIP,DELAND,FL,29.105,-81.313333,94,122.8
1J7,JAY,JAY,FL,30.955,-87.13,254,
1J8,MADISON COUNTY,LEE,FL,30.446667,-83.311667,150,122.9
1J9,FORT WALTON BEACH,NAVARRE,FL,30.406667,-86.828333,22,122.7
1K1,BENTON,BENTON,KS,37.778333,-97.113333,1364,123
1K3,HAMILTON FIELD,DERBY,KS,37.56,-97.233333,1320,122.9
1K6,ELLINWOOD MUNI,ELLINWOOD,KS,38.373333,-98.595,1797,122.9
1K7,FREDONIA,FREDONIA,KS,37.58,-95.838333,880,122.9
1K9,SATANTA MUNI,SATANTA,KS,37.455,-100.99167,2976,122.8
1KS1,COCHRAN,RICHMOND,KS,38.458333,-95.226667,1005,
1KS2,RILEY,RILEY,KS,39.293333,-96.776667,1335,
1KS3,WALTER STOL STRIP,RILEY,KS,39.303333,-96.758333,1350,
1KS5,KEYSER,ST MARYS,KS,39.161667,-96.096667,950,
1KS6,SILERS PLANE VALLEY,SALINA,KS,38.866667,-97.536667,1204,
1KS7,HITCH FEEDERS II INC.,SATANTA,KS,37.673333,-101.01667,3028,
1KS8,BUEHLER,SCOTT CITY,KS,38.515,-100.995,3038,
1L1,LINCOLN COUNTY,PANACA,NV,37.786667,-114.42167,4828,122.9
1L3,SEARCHLIGHT,SEARCHLIGHT,NV,35.445,-114.91,3410,122.9
1L4,KIDWELL,CAL NEV ARI,NV,35.305,-114.88333,2605,122.9
1L5,SWAINS CREEK,ALTON,UT,37.471667,-112.62167,7780,
1L6,BERYL JUNCTION,BERYL,UT,37.71,-113.645,5181,
1L7,ESCALANTE MUNI,ESCALANTE,UT,37.745,-111.57,5740,122.8
1L8,HURRICANE,HURRICANE,UT,37.138333,-113.30667,3347,122.8
1L9,PAROWAN,PAROWAN,UT,37.86,-112.81667,5930,122.8
1LA0,KEN GUIDRY N0. 2,GUEYDAN,LA,30.016667,-92.528333,6,
1LA1,TRICHE FIELD,HAHNVILLE,LA,29.983333,-90.435,10,
1LA2,PHI HARAHAN,HARAHAN,LA,29.941667,-90.18,0,
1LA3,GOOSE ISLAND,HAYES,LA,30.03,-92.833333,4,
1LA4,BAYOU FOURCHON,LEEVILLE,LA,29.105,-90.191667,0,
1LA5,JOHNSON'S BAYOU,HOLLY BEACH,LA,29.756667,-93.651667,4,
1LA7,SAVOY MEDICAL CENTER,MAMOU,LA,30.641667,-92.418333,100,
1LA8,S.FRESH WATER BAYOU,INTRACOASTAL CITY,LA,29.601667,-92.26,4,
1LA9,CHEVRON INTRACOASTAL,INTRACOASTAL CITY,LA,29.783333,-92.156667,0,
1LL0,BOONDOX FIELD,SENECA,IL,41.33,-88.6,625,
1LL2,SPRING BROOK,SENECA,IL,41.3,-88.635,500,
1LL5,KENNETH MOLL,SHANNON,IL,42.15,-89.788333,873,
1LL6,JANSSEN,SHANNON,IL,42.228333,-89.738333,877,
1LL7,EDWIN G. BENNETT,SHEFFIELD,IL,41.35,-89.773333,690,
1LL8,ZOOMER FIELD,SHELDON,IL,40.788333,-87.558333,680,
1M1,NORTH LITTLE ROCK MUNI,NORTH LITTLE ROCK,AR,34.833333,-92.253333,544,122.8
1M2,BELZONI MUNI,BELZONI,MS,33.145,-90.515,110,122.9
1M3,ARDMORE,ARDMORE,AL,34.978333,-86.885,920,122.9
1M4,POSEY FIELD,HALEYVILLE,AL,34.28,-87.6,930,122.8
1M5,PORTLAND MUNI,PORTLAND,TN,36.593333,-86.476667,818,122.8
1M6,STANDARD FIELD,ELKTON,KY,36.803333,-87.176667,655,122.9
1M7,FULTON,FULTON,KY,36.526667,-88.915,400,122.7
1M9,LAKE BARKLEY STATE PARK,CADIZ,KY,36.818333,-87.908333,570,122.8
1MA0,JORDAN HOSPITAL,PLYMOUTH,MA,41.941667,-70.645,122,
1MA1,NASHOBA COMMUNITY HOSPITAL,AYER,MA,42.576667,-71.573333,308,
1MA2,UMASS MEDICAL CENTER,WORCESTER,MA,42.276667,-71.76,426,
1MA3,BOSTON,BOSTON,MA,42.345,-71.046667,16,122.9
1MA4,WANG,LOWELL,MA,42.61,-71.321667,104,
1MA5,UNKNOWN FIELD,SOUTHBOROUGH,MA,42.278333,-71.548333,432,
1MA6,MICRON,SOUTHWICK,MA,42.068333,-72.745,245,
1MA7,LONG HILL ORCHARD,WEST NEWBURY,MA,42.473333,-70.978333,120,
1MA8,HORIZON HILL,LINCOLN,MA,42.42,-71.31,347,
1MA9,DIGITAL/BEDFORD PARK,BEDFORD,MA,42.508333,-71.248333,125,
1MD0,CLNG COVE POINT,LUSBY,MD,38.391667,-76.408333,133,
1MD1,BIG OAK FARM,CAMBRIDGE,MD,38.568333,-76.286667,4,
1MD2,MD STATE POLICE GLEN BURNIE BARR,GLEN BURNIE,MD,39.166667,-76.643333,90,
1MD3,KRASTEL FARMS,KENNEDYVILLE,MD,39.308333,-75.988333,75,
1MD4,PRINCE GEORGE'S HOSPITAL CENTER,CHEVERLY,MD,38.93,-76.92,200,
1MD5,FEDERAL SUPPORT CENTER,LAYTONSVILLE,MD,39.191667,-77.106667,510,
1MD6,METROPLEX,NEW CARROLLTON,MD,38.946667,-76.868333,99,
1MD7,SHADY GROVE ADVENTIST HOSPITAL,ROCKVILLE,MD,39.098333,-77.196667,475,
1MD8,MAYBERRY RUN,WESTMINSTER/SILVER RUN,MD,39.683333,-77.096667,580,
1MD9,WASHINGTON COUNTY HOSPITAL,HAGERSTOWN,MD,39.636667,-77.715,589,
1MI0,ASHMAN ISLAND,DRUMMOND ISLAND,MI,46.068333,-83.725,581,
1MI1,NIKKILA FARMS,MASS,MI,46.703333,-88.996667,1100,
1MI3,BLACK RIVER RANCH,ONAWAY,MI,45.196667,-84.321667,880,
1MI4,RAMSY FARM,PERRONVILLE,MI,45.838333,-87.321667,880,
1MI5,BOYER,ROSE CITY,MI,44.383333,-84.066667,883,
1MI6,ROSEDALE,SAULT STE MARIE,MI,46.378333,-84.311667,675,
1MI7,THOMPSON,SELKIRK,MI,44.316667,-84.066667,857,
1MN0,WETHERBEE FARM,TENNEY,MN,46.043333,-96.546667,980,
1MN1,BEYER,TENNEY,MN,45.973333,-96.565,1000,
1MN4,KRUEGER LOON LAKE,VERGAS,MN,46.621667,-95.836667,1370,
1MN5,MOLNAU AIRPARK,WACONIA,MN,44.843333,-93.74,1000,
1MN8,SKY HARBOR RESIDENTIAL AIRPARK,WEBSTER,MN,44.525,-93.326667,1111,
1MN9,BALD EAGLE,WHITE BEAR LAKE,MN,45.116667,-93.016667,910,
1MO0,MARSH FARM,DEARBORN,MO,39.488333,-94.78,1000,
1MO1,ST JOSEPH HOSPITAL,KIRKWOOD,MO,38.568333,-90.433333,530,
1MO2,HART,FREEMAN,MO,38.55,-94.476667,825,
1MO3,LAKE VIKING,GALLATIN,MO,39.933333,-94.073333,940,
1MO4,LONGWOOD MFG CORP,GALLATIN,MO,39.891667,-93.863333,800,
1MO6,DOUBLE S RANCH,GRANDIN,MO,36.836667,-90.721667,737,
1MO7,HINES,GORIN,MO,40.363333,-91.975,750,
1MO8,ADKINS,GRAVOIS MILLS,MO,38.253333,-92.803333,800,
1MO9,EAGLE'S POINT & RED BARN VILLAGE,GREENFIELD,MO,37.48,-93.851667,1040,
1MS0,TAPLEY,SHAW,MS,33.6,-90.781667,129,
1MS1,NESHOBA GENERAL HOSPITAL,PHILADELPHIA,MS,32.756667,-89.106667,388,
1MS2,PETERSON,GOODMAN,MS,32.941667,-89.93,240,
